neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
Queens,Ditmars Steinway,40.77943,-73.9117,Private room,2,80,2.35,1,350,90
Brooklyn,Bedford-Stuyvesant,40.68194,-73.93567,Entire home/apt,30,0,,2,45,120
Brooklyn,Williamsburg,40.70721,-73.95341,Entire home/apt,2,17,0.59,1,3,160
Manhattan,East Village,40.72272,-73.98379,Entire home/apt,30,0,,232,330,314
Brooklyn,Crown Heights,40.67293,-73.93273,Private room,2,53,2.3,1,8,54
Brooklyn,Flatbush,40.64434,-73.95288,Private room,3,0,,2,311,50
Queens,Long Island City,40.75659,-73.93108,Entire home/apt,2,1,1.0,1,266,275
Manhattan,Harlem,40.80652,-73.94937,Private room,1,33,4.25,1,19,68
Brooklyn,East Flatbush,40.66209,-73.92913,Shared room,1,23,0.74,2,364,50
Brooklyn,Bedford-Stuyvesant,40.6837,-73.93325,Entire home/apt,2,4,0.12,1,0,125
Brooklyn,Bushwick,40.704,-73.91492,Private room,2,19,1.47,1,198,75
Brooklyn,Midwood,40.62477,-73.95517,Private room,1,0,,3,330,100
Manhattan,Upper West Side,40.79874,-73.96034,Entire home/apt,3,18,0.39,1,0,130
Queens,Middle Village,40.71064,-73.87463,Entire home/apt,1,4,0.34,1,0,100
Brooklyn,Fort Greene,40.68946,-73.97279,Entire home/apt,3,1,0.14,1,125,270
Brooklyn,Bedford-Stuyvesant,40.68593,-73.95702,Private room,7,6,0.45,1,0,48
Manhattan,Nolita,40.72104,-73.99498,Private room,2,123,3.79,3,59,130
Brooklyn,Williamsburg,40.70742,-73.94185,Entire home/apt,3,0,,1,0,200
Brooklyn,Williamsburg,40.71801,-73.95244,Private room,1,2,1.09,1,249,43
Bronx,Kingsbridge,40.86429,-73.90204,Private room,1,0,,1,83,60
Brooklyn,Bedford-Stuyvesant,40.69169,-73.93142,Entire home/apt,4,34,0.73,2,340,130
Manhattan,West Village,40.73822,-74.00606,Entire home/apt,2,11,0.21,1,0,275
Queens,Ozone Park,40.68792,-73.83752,Entire home/apt,1,22,0.49,1,130,79
Brooklyn,Bedford-Stuyvesant,40.67878,-73.9172,Private room,1,22,9.85,2,236,48
Manhattan,Harlem,40.80569,-73.94848,Entire home/apt,3,38,3.21,3,302,450
Manhattan,Hell's Kitchen,40.75525,-73.99597,Entire home/apt,3,4,0.38,1,108,639
Manhattan,Washington Heights,40.85415,-73.93108,Private room,2,9,0.2,1,0,40
Brooklyn,Bushwick,40.7036,-73.92496,Private room,1,4,2.31,1,71,51
Brooklyn,Sunset Park,40.63747,-74.01153,Private room,3,5,0.11,1,281,52
Brooklyn,Crown Heights,40.66949,-73.92172,Private room,1,6,1.91,2,323,65
Manhattan,West Village,40.73485,-74.00313,Entire home/apt,30,0,,65,326,188
Brooklyn,Clinton Hill,40.69456,-73.96439,Private room,1,3,0.63,1,0,120
Queens,Forest Hills,40.72133,-73.83928,Private room,2,35,3.85,5,235,58
Brooklyn,Park Slope,40.66588,-73.97833,Private room,14,1,0.03,2,0,60
Manhattan,Hell's Kitchen,40.76283,-73.99331,Private room,2,30,0.8,3,3,115
Manhattan,Battery Park City,40.70964,-74.01798,Entire home/apt,1,0,,1,43,199
Brooklyn,Flatbush,40.64933,-73.96478,Entire home/apt,5,4,0.11,1,0,290
Manhattan,Hell's Kitchen,40.7617,-73.99762,Entire home/apt,30,2,0.08,121,365,275
Brooklyn,Sheepshead Bay,40.58438,-73.95564,Private room,1,4,1.85,1,341,60
Brooklyn,Borough Park,40.63573,-74.00552,Private room,1,1,0.26,7,350,60
Queens,Woodside,40.74286,-73.89163,Private room,1,57,4.37,2,295,50
Manhattan,East Harlem,40.79663,-73.94893,Private room,1,5,0.13,1,0,75
Brooklyn,Williamsburg,40.71258,-73.94307,Entire home/apt,1,15,2.02,1,16,82
Queens,Rockaway Beach,40.58634,-73.81867,Entire home/apt,1,144,4.13,2,134,150
Manhattan,Upper East Side,40.77305,-73.96283,Shared room,3,48,1.53,1,0,99
Brooklyn,Clinton Hill,40.68535,-73.96736,Private room,3,4,0.62,1,0,65
Brooklyn,Flatbush,40.64189,-73.96066,Entire home/apt,3,4,0.12,1,69,100
Brooklyn,East New York,40.66045,-73.89873,Entire home/apt,4,121,2.54,2,33,72
Manhattan,Washington Heights,40.85911,-73.93087,Private room,2,6,5.0,1,29,50
Brooklyn,Bedford-Stuyvesant,40.69499,-73.94822,Private room,5,42,1.58,3,63,81
Brooklyn,Bedford-Stuyvesant,40.68457,-73.9262,Entire home/apt,2,5,0.13,2,0,120
Brooklyn,Bushwick,40.69633,-73.93369,Entire home/apt,3,0,,2,0,95
Manhattan,Nolita,40.72131,-73.99487,Entire home/apt,3,17,0.22,1,0,119
Manhattan,Kips Bay,40.74612,-73.9796,Entire home/apt,4,0,,1,78,220
Manhattan,Chinatown,40.71457,-73.9958,Private room,1,71,5.5,3,91,122
Manhattan,Hell's Kitchen,40.75562,-73.99539,Private room,30,8,0.71,47,351,55
Brooklyn,Williamsburg,40.71002,-73.96114,Entire home/apt,30,25,0.82,3,342,218
Manhattan,Midtown,40.7528,-73.97092,Entire home/apt,12,4,1.38,1,118,150
Brooklyn,Williamsburg,40.71813,-73.95981,Entire home/apt,2,51,0.91,1,147,212
Manhattan,Harlem,40.82914,-73.94736,Private room,4,153,4.74,2,125,69
Manhattan,Kips Bay,40.73898,-73.98233,Entire home/apt,2,18,0.81,1,0,150
Brooklyn,South Slope,40.6612,-73.98568,Entire home/apt,70,3,0.08,1,0,70
Manhattan,SoHo,40.72493,-74.00307,Entire home/apt,3,73,0.94,1,44,235
Brooklyn,Bushwick,40.70618,-73.91689,Entire home/apt,30,1,0.09,1,6,78
Brooklyn,Williamsburg,40.7045,-73.94357,Entire home/apt,6,5,2.17,1,40,150
Brooklyn,Fort Greene,40.69617,-73.97456,Private room,1,24,3.09,2,72,89
Manhattan,West Village,40.7385,-74.00378,Entire home/apt,1,0,,1,0,200
Brooklyn,Bedford-Stuyvesant,40.68753,-73.93656,Entire home/apt,5,82,1.41,1,0,175
Manhattan,Upper East Side,40.77975,-73.94977,Private room,1,160,1.9,1,319,80
Brooklyn,Bushwick,40.70088,-73.91836,Private room,3,22,0.98,2,0,50
Manhattan,Harlem,40.81033,-73.94286,Entire home/apt,3,30,2.59,1,159,150
Brooklyn,Prospect-Lefferts Gardens,40.65862,-73.95808,Private room,2,0,,1,0,75
